id,name,colour,stock
1.000000,toy1,green,2853.000000
2.000000,toy2,yellow,584.000000
3.000000,toy3,blue,4753.000000
4.000000,toy4,green,3721.000000
5.000000,toy5,blue,3697.000000
6.000000,toy6,red,4607.000000
7.000000,toy7,black,766.000000
8.000000,toy8,blue,2622.000000
9.000000,toy9,red,2641.000000
10.000000,toy10,black,177.000000
11.000000,toy11,orange,2307.000000
12.000000,toy12,black,4267.000000
13.000000,toy13,black,3568.000000
14.000000,toy14,red,4366.000000
15.000000,toy15,orange,1493.000000
16.000000,toy16,white,3434.000000
17.000000,toy17,black,1055.000000
18.000000,toy18,blue,1027.000000
19.000000,toy19,white,1010.000000
20.000000,toy20,black,2518.000000
21.000000,toy21,blue,1272.000000
22.000000,toy22,red,2577.000000
23.000000,toy23,blue,3739.000000
24.000000,toy24,orange,2579.000000
25.000000,toy25,blue,4219.000000
26.000000,toy26,green,3833.000000
27.000000,toy27,green,4493.000000
28.000000,toy28,red,3725.000000
29.000000,toy29,orange,2212.000000
30.000000,toy30,blue,3221.000000
31.000000,toy31,blue,1690.000000
32.000000,toy32,yellow,1738.000000
33.000000,toy33,blue,4581.000000
34.000000,toy34,white,4949.000000
35.000000,toy35,white,906.000000
36.000000,toy36,blue,2246.000000
37.000000,toy37,white,1271.000000
38.000000,toy38,blue,1274.000000
39.000000,toy39,white,1407.000000
40.000000,toy40,yellow,376.000000
41.000000,toy41,white,4335.000000
42.000000,toy42,red,407.000000
43.000000,toy43,yellow,1147.000000
44.000000,toy44,orange,410.000000
45.000000,toy45,red,3744.000000
46.000000,toy46,yellow,2055.000000
47.000000,toy47,white,2635.000000
48.000000,toy48,yellow,2950.000000
49.000000,toy49,yellow,4887.000000
50.000000,toy50,blue,4310.000000
51.000000,toy51,orange,907.000000
52.000000,toy52,red,4662.000000
53.000000,toy53,black,306.000000
54.000000,toy54,white,4444.000000
55.000000,toy55,white,3668.000000
56.000000,toy56,yellow,4619.000000
57.000000,toy57,yellow,468.000000
58.000000,toy58,black,1731.000000
59.000000,toy59,orange,2463.000000
60.000000,toy60,orange,2779.000000
61.000000,toy61,yellow,2298.000000
62.000000,toy62,green,2621.000000
63.000000,toy63,red,1170.000000
64.000000,toy64,blue,3227.000000
65.000000,toy65,blue,701.000000
66.000000,toy66,yellow,1057.000000
67.000000,toy67,blue,3339.000000
68.000000,toy68,orange,4963.000000
69.000000,toy69,yellow,4459.000000
70.000000,toy70,blue,4113.000000
71.000000,toy71,yellow,2004.000000
72.000000,toy72,red,3714.000000
73.000000,toy73,blue,2050.000000
74.000000,toy74,black,2198.000000
75.000000,toy75,red,1553.000000
76.000000,toy76,blue,1588.000000
77.000000,toy77,red,3677.000000
78.000000,toy78,blue,4649.000000
79.000000,toy79,red,1440.000000
80.000000,toy80,blue,100.000000
81.000000,toy81,green,147.000000
82.000000,toy82,green,3593.000000
83.000000,toy83,blue,4352.000000
84.000000,toy84,white,3681.000000
85.000000,toy85,yellow,779.000000
86.000000,toy86,yellow,1192.000000
87.000000,toy87,black,2822.000000
88.000000,toy88,orange,1863.000000
89.000000,toy89,orange,100.000000
90.000000,toy90,white,4141.000000
91.000000,toy91,green,2601.000000
92.000000,toy92,blue,3805.000000
93.000000,toy93,blue,2155.000000
94.000000,toy94,blue,2841.000000
95.000000,toy95,yellow,2574.000000
96.000000,toy96,green,4968.000000
97.000000,toy97,white,4484.000000
98.000000,toy98,white,414.000000
99.000000,toy99,yellow,2849.000000
100.000000,toy100,yellow,4973.000000
101.000000,toy101,white,182.000000
102.000000,toy102,red,3855.000000
103.000000,toy103,orange,1545.000000
104.000000,toy104,red,546.000000
105.000000,toy105,black,2574.000000
106.000000,toy106,blue,3412.000000
107.000000,toy107,blue,2545.000000
108.000000,toy108,yellow,3445.000000
109.000000,toy109,blue,1863.000000
110.000000,toy110,green,522.000000
111.000000,toy111,green,2556.000000
112.000000,toy112,black,393.000000
113.000000,toy113,black,3011.000000
114.000000,toy114,red,4090.000000
115.000000,toy115,red,530.000000
116.000000,toy116,white,1990.000000
117.000000,toy117,orange,2300.000000
118.000000,toy118,green,4889.000000
119.000000,toy119,blue,3901.000000
120.000000,toy120,red,3327.000000
121.000000,toy121,red,3433.000000
122.000000,toy122,yellow,2281.000000
123.000000,toy123,red,502.000000
124.000000,toy124,green,4238.000000
125.000000,toy125,red,4724.000000
126.000000,toy126,white,1701.000000
127.000000,toy127,green,2685.000000
128.000000,toy128,orange,4875.000000
129.000000,toy129,red,4744.000000
130.000000,toy130,red,3511.000000
131.000000,toy131,white,4277.000000
132.000000,toy132,blue,1654.000000
133.000000,toy133,white,994.000000
134.000000,toy134,yellow,1943.000000
135.000000,toy135,black,4295.000000
136.000000,toy136,green,238.000000
137.000000,toy137,blue,124.000000
138.000000,toy138,green,3051.000000
139.000000,toy139,black,2354.000000
140.000000,toy140,red,3240.000000
141.000000,toy141,blue,1764.000000
142.000000,toy142,blue,1227.000000
143.000000,toy143,blue,4279.000000
144.000000,toy144,black,4538.000000
145.000000,toy145,orange,1762.000000
146.000000,toy146,green,4614.000000
147.000000,toy147,black,1656.000000
148.000000,toy148,blue,4257.000000
149.000000,toy149,blue,1548.000000
150.000000,toy150,red,3277.000000
151.000000,toy151,yellow,1114.000000
152.000000,toy152,yellow,1505.000000
153.000000,toy153,blue,3935.000000
154.000000,toy154,blue,2883.000000
155.000000,toy155,orange,4813.000000
156.000000,toy156,red,949.000000
157.000000,toy157,yellow,647.000000
158.000000,toy158,green,491.000000
159.000000,toy159,red,1662.000000
160.000000,toy160,orange,1425.000000
161.000000,toy161,white,2406.000000
162.000000,toy162,yellow,1099.000000
163.000000,toy163,red,2943.000000
164.000000,toy164,orange,3522.000000
165.000000,toy165,green,3776.000000
166.000000,toy166,white,1040.000000
167.000000,toy167,blue,3912.000000
168.000000,toy168,red,3909.000000
169.000000,toy169,white,3572.000000
170.000000,toy170,green,2726.000000
171.000000,toy171,orange,1047.000000
172.000000,toy172,green,106.000000
173.000000,toy173,green,4188.000000
174.000000,toy174,blue,464.000000
175.000000,toy175,orange,4287.000000
176.000000,toy176,white,1853.000000
177.000000,toy177,orange,2784.000000
